CODE_BAR,PRIX,TYPE_PROMO,NUM_PRODUIT,REDUCTION
3270720000025,2.95,reduction,2,68.0
3270720125056,2.85,reduction,2,68.0
14113230049,4.65,reduction,2,68.0
14113230230,8.79,reduction,2,68.0
14113230025,4.65,reduction,2,68.0
14113230261,4.65,reduction,2,68.0
14113230018,4.65,reduction,2,68.0
3276552675028,0.99,iRemise,2,1.5
3270720000995,3.65,reduction,2,68.0
3270720000087,2.45,reduction,2,68.0
3280220918003,1.75,reduction,2,68.0
3276552684143,0.99,iRemise,2,1.5
3280220872015,2.05,reduction,2,68.0
3280222204135,3.2,reduction,2,68.0
3270720000094,3.5,reduction,2,68.0
3270720261006,1.95,reduction,2,68.0
3270720018068,2.99,reduction,2,68.0
3280220112166,1.95,reduction,2,68.0
3280220920006,1.87,reduction,2,68.0
3276555040885,0.99,iRemise,2,1.5
3276552684112,0.99,iRemise,2,1.5
3000001032670,0.8,iRemise,3,2.0
3280220921003,1.75,reduction,2,68.0
3280222510168,2.65,reduction,2,68.0
3276552684174,0.99,iRemise,2,1.5
3270720000292,3.0,reduction,2,68.0
3276554541338,1.79,catalogue,1,0.0
3270720004115,5.35,reduction,2,68.0
3276555792975,3.89,catalogue,1,0.0
3270720090088,3.8,reduction,2,68.0
3270720090095,3.8,reduction,2,68.0
3270720001800,4.15,reduction,2,68.0
3270720001817,4.65,reduction,2,68.0
3270720005594,4.55,reduction,2,68.0
3270720050402,4.09,reduction,2,68.0
3270720001541,3.8,reduction,2,68.0
3270726141234,4.45,reduction,2,68.0
3270720090064,3.7,reduction,2,68.0
3270720005600,4.89,reduction,2,68.0
3270720001565,3.8,reduction,2,68.0
3270720090057,3.6,reduction,2,68.0
3270720001596,3.85,reduction,2,68.0
3270720014145,4.59,reduction,2,68.0
3270720001558,3.8,reduction,2,68.0
3270720000308,2.25,reduction,2,68.0
3270720005693,2.25,reduction,2,68.0
3270727702250,3.19,reduction,2,68.0
3280220610181,2.65,reduction,2,68.0
5038862433174,3.81,reduction,2,68.0
5038862132817,3.81,reduction,2,68.0
5038862131490,3.81,reduction,2,68.0
5038862137140,3.81,reduction,2,68.0
3276552308865,0.99,iRemise,3,2.5
3276552672799,0.99,iRemise,2,1.5
3276555040724,0.99,iRemise,2,1.5
3270722500141,1.7,reduction,2,68.0
3270720005723,4.45,reduction,2,68.0
3270720080102,4.65,reduction,2,68.0
3280222410161,2.69,reduction,2,68.0
3280220923007,1.75,reduction,2,68.0
3280221906153,2.39,reduction,2,68.0
3276552684327,0.99,iRemise,2,1.5
3523680432901,3.89,catalogue,1,0.0
3270720005617,2.85,reduction,2,68.0
3270722253153,4.35,reduction,2,68.0
3270720021785,4.55,reduction,2,68.0
3270720021808,4.55,reduction,2,68.0
3270720400948,7.19,reduction,2,68.0
3270720021792,4.55,reduction,2,68.0
3270720007970,4.55,reduction,2,68.0
3270720007956,4.55,reduction,2,68.0
3270720007963,4.55,reduction,2,68.0
3270720000940,5.25,reduction,2,68.0
3270720812505,3.89,reduction,2,68.0
3270720017221,4.09,reduction,2,68.0
3280222109683,1.75,reduction,2,68.0
3276554880178,0.99,iRemise,2,1.5
3276552684280,0.99,iRemise,2,1.5
3276554880161,0.99,iRemise,2,1.5
3276555040922,0.99,iRemise,2,1.5
3276552672836,0.99,iRemise,2,1.5
3270721001175,5.45,reduction,2,68.0
3270720002234,6.19,reduction,2,68.0
3270720005808,8.45,reduction,2,68.0
3270720005815,4.75,reduction,2,68.0
3270720005822,8.45,reduction,2,68.0
14113913935,4.75,reduction,2,68.0
14113911719,5.29,reduction,2,68.0
14113911672,5.29,reduction,2,68.0
14113910569,5.29,reduction,2,68.0
14113913614,8.99,reduction,2,68.0
14113911702,5.29,reduction,2,68.0
14113912341,5.49,reduction,2,68.0
14113910811,8.99,reduction,2,68.0
3276550371366,1.99,iRemise,2,3.0
3280220807215,5.85,reduction,2,68.0
3280221712075,5.9,reduction,2,68.0
3000000034736,1.79,catalogue,1,0.0
3276554570444,1.2,reduction,1,20.0
3000001035008,0.99,iRemise,3,2.6
3280221111083,2.55,reduction,2,68.0
3280220907212,2.95,reduction,2,68.0
3270720000247,2.55,reduction,2,68.0
3270720000216,2.3,reduction,2,68.0
3270720000223,2.45,reduction,2,68.0
3061430008407,1.7,reduction,2,68.0
5411188112501,2.99,reduction,2,68.0
